,Interest Score,HST,XTN,neg,neu,pos,compound,sentiment
2020-03-02,7,,,-0.0925354645354645,0.8292767232767233,0.0781858141858141,-0.0572780219780219,negative
2020-03-03,7,-0.05344022554874972,-0.028092879396485082,-0.09500999000999,0.8174525474525475,0.0875484515484515,-0.0282718281718281,neutral
2020-03-04,7,0.007057189903409089,0.03168425135808017,-0.0958861138861138,0.821064935064935,0.083045954045954,-0.0378860139860139,neutral
2020-03-05,7,-0.0784863912617505,-0.06519398434302459,-0.0924345654345654,0.8221548451548452,0.0853996003996004,-0.0210576423576423,neutral
2020-03-06,7,0.023574177080572856,-0.005379419469760727,-0.0863356643356643,0.8337782217782218,0.0798771228771228,-0.0253364635364635,neutral
2020-03-09,30,-0.10326897023650483,-0.08557079903427811,-0.0986503496503496,0.8154835164835165,0.0858681318681318,-0.0387999000999001,neutral
2020-03-10,30,0.04556753973827443,0.052386977909647525,-0.0933266733266733,0.815020979020979,0.0916593406593406,-0.0091843156843156,neutral
2020-03-11,30,-0.08478603046966793,-0.056403078894096126,-0.0906093906093906,0.8208841158841159,0.0885014985014985,-0.0035866133866133,neutral
2020-03-12,30,-0.09004328525356131,-0.10891297840228853,-0.0955264735264735,0.8180049950049949,0.0864515484515484,-0.0168231768231768,neutral
2020-03-13,30,0.08563269257188444,0.06349963920193868,-0.1002567432567432,0.8152567432567432,0.0844915084915084,-0.022577922077922,neutral
2020-03-16,79,-0.15687992864075417,-0.09921432647900863,-0.0901368631368631,0.8144385614385615,0.0954105894105894,0.0181644355644355,neutral
2020-03-17,79,0.046777527507110284,0.050336416745541346,-0.0957492507492507,0.8043106893106893,0.0999470529470529,0.038061938061938,neutral
2020-03-18,79,-0.07547162842498834,-0.09252672324304467,-0.0886853146853146,0.8115984015984016,0.0997192807192807,0.0488373626373626,neutral
2020-03-19,79,0.11170783189887823,0.025359509037990113,-0.0948631368631368,0.8067972027972028,0.0983476523476523,0.0204667332667332,neutral
