,Interest Score,HST,SPY,XTN,sentiment,total_cases,new_cases,total_deaths,new_deaths,S&P 500 Daily Movement
2020-03-03,7,-0.05344022554874972,-0.02863245724019159,-0.028092879396485082,neutral,74.0,19.0,7.0,1.0,neg
2020-03-04,7,0.007057189903409089,0.04203302533861675,0.03168425135808017,neutral,107.0,33.0,11.0,4.0,pos
2020-03-05,7,-0.0784863912617505,-0.033241687602835635,-0.06519398434302459,neutral,184.0,77.0,12.0,1.0,neg
2020-03-06,7,0.023574177080572856,-0.016531112018967953,-0.005379419469760727,neutral,237.0,53.0,14.0,2.0,neg
2020-03-09,30,-0.10326897023650483,-0.07809447030209493,-0.08557079903427811,neutral,594.0,75.0,22.0,1.0,neg
2020-03-10,30,0.04556753973827443,0.05174489250964487,0.052386977909647525,neutral,782.0,188.0,28.0,6.0,pos
2020-03-11,30,-0.08478603046966793,-0.04874844817138435,-0.056403078894096126,neutral,1147.0,365.0,33.0,5.0,neg
2020-03-12,30,-0.09004328525356131,-0.09567716191402487,-0.10891297840228853,neutral,1586.0,439.0,43.0,10.0,neg
2020-03-13,30,0.08563269257188444,0.08548630309818428,0.06349963920193868,neutral,2219.0,633.0,51.0,8.0,pos
2020-03-16,79,-0.15687992864075417,-0.10942373540494488,-0.09921432647900863,neutral,4679.0,1467.0,97.0,27.0,neg
2020-03-17,79,0.046777527507110284,0.05399206428476466,0.050336416745541346,neutral,6512.0,1833.0,134.0,37.0,pos
2020-03-18,79,-0.07547162842498834,-0.05063292285300003,-0.09252672324304467,neutral,9169.0,2657.0,194.0,60.0,neg
2020-03-19,79,0.11170783189887823,0.002124977111816362,0.025359509037990113,neutral,13663.0,4494.0,266.0,72.0,pos
2020-03-20,79,0.028019318953092398,-0.0486881698163496,-0.025242265365973626,positive,20030.0,6367.0,372.0,106.0,neg
2020-03-23,94,0.003759394789693671,-0.025568208153355143,0.003400498814330577,neutral,46136.0,11238.0,790.0,191.0,neg
2020-03-24,94,0.04026211041333738,0.09060326182884682,0.12043792644356843,neutral,56755.0,10619.0,1033.0,243.0,pos
2020-03-25,94,0.09270933559628558,0.014970180880194084,0.03420198316332135,neutral,68837.0,12082.0,1367.0,334.0,pos
2020-03-26,94,0.02635911744436026,0.05838980231338309,0.03239591905495742,neutral,86693.0,17856.0,1785.0,418.0,pos
2020-03-27,94,-0.09470307396172917,-0.029785657253030173,-0.05142734019917894,neutral,105383.0,18690.0,2307.0,522.0,neg
2020-03-30,96,0.012411378247956462,0.03247571536186511,0.0020675431911727493,neutral,165987.0,22075.0,4286.0,713.0,pos
2020-03-31,96,-0.03327496601595792,-0.01490538500844496,-0.0002292141627242561,neutral,192301.0,26314.0,5371.0,1085.0,neg
