,Interest Score,HST,SPY,XTN,sentiment,total_cases,new_cases,total_deaths,new_deaths,S&P 500 Daily Movement
2020-04-01,96,-0.06884060068006304,-0.045004873340506735,-0.06328828474208592,neutral,224587.0,32286.0,6655.0,1284.0,neg
2020-04-02,96,-0.07101163046677816,0.023075393359379692,-0.005630343961506745,negative,256809.0,32222.0,8169.0,1514.0,pos
2020-04-03,96,-0.05130887553212282,-0.014454192761712337,-0.02929588030527719,neutral,289116.0,32307.0,9598.0,1429.0,neg
2020-04-06,85,0.1501103304291882,0.06716621437679282,0.07811306093125059,neutral,382787.0,31390.0,14553.0,1772.0,pos
2020-04-07,85,0.025911660471444664,0.0010194802770664424,0.02869915946538959,neutral,413566.0,30779.0,17126.0,2573.0,pos
2020-04-08,85,0.05332092337445138,0.03356841448563386,0.03407275769641127,neutral,444801.0,31235.0,19287.0,2161.0,pos
2020-04-09,85,0.05772643031241054,0.015217361041894195,0.028306031506935225,neutral,480743.0,35942.0,21498.0,2211.0,pos
2020-04-13,68,-0.04198152866548055,-0.009130152528647795,-0.03397853400117612,neutral,598424.0,26939.0,29709.0,2015.0,neg
2020-04-14,68,0.00262924920003349,0.029492870836560936,0.01625118848375795,neutral,627242.0,28818.0,32156.0,2447.0,pos
2020-04-15,68,-0.014860063711115368,-0.021248101052656954,-0.021248656917420505,neutral,652650.0,25408.0,34763.0,2607.0,neg
2020-04-16,68,-0.023957448695370198,0.004824295401707923,-0.009400223383479345,neutral,682652.0,30002.0,36916.0,2153.0,pos
2020-04-17,68,0.0336363532326438,0.027015436689475925,0.0332128620978267,neutral,715718.0,33066.0,39029.0,2113.0,pos
2020-04-20,65,-0.050131899785519685,-0.017617980925449972,-0.02995842872509613,negative,799507.0,29820.0,45214.0,2236.0,neg
2020-04-21,65,-0.02222220063700142,-0.030363251195576146,-0.013976531184719754,neutral,825433.0,25926.0,47719.0,2505.0,neg
2020-04-22,65,0.005681767382406999,0.022194540612888725,0.00022858530291558488,neutral,854344.0,28911.0,50184.0,2465.0,pos
2020-04-23,65,0.017890822608762624,-7.172888144824086e-05,0.014400024414062518,neutral,887956.0,33612.0,52642.0,2458.0,neg
2020-04-24,65,0.026827007455686225,0.013938708741589423,0.01960340042690567,neutral,920283.0,32327.0,54830.0,2188.0,pos
2020-04-27,57,0.04234227902722476,0.014418442077481775,0.035359082301018585,neutral,1000866.0,23715.0,59470.0,1520.0,pos
2020-04-28,57,0.010371641203479331,-0.004598421399664487,0.02070440239691651,neutral,1025441.0,24575.0,61695.0,2225.0,neg
2020-04-29,57,0.07527802788954974,0.026178490817010847,0.03994144415728296,neutral,1051900.0,26459.0,64105.0,2410.0,pos
2020-04-30,57,-0.020684111497200397,-0.009310666581320293,-0.033983483657055835,neutral,1081105.0,29205.0,66293.0,2188.0,neg
2020-05-01,57,-0.07067431434421412,-0.026473430702838252,-0.03351375061758555,neutral,1116012.0,34907.0,68208.0,1915.0,neg
2020-05-04,53,-0.028846148235173064,0.0027582260890697263,-0.016584114854675924,neutral,1191749.0,24068.0,72525.0,1390.0,pos
2020-05-05,53,-0.012601205578282482,0.00923932379841541,0.007446345898469486,neutral,1216277.0,24528.0,74740.0,2215.0,pos
2020-05-06,53,-0.04010943695052338,-0.006778721915009722,-0.012608735457710574,neutral,1240846.0,24569.0,77049.0,2309.0,neg
2020-05-07,53,0.04938276077400672,0.01206681680134114,0.020035308207730473,neutral,1268275.0,27429.0,78974.0,1925.0,pos
2020-05-08,53,0.0009049980732327434,0.0165461967700673,0.04036259136582454,neutral,1295105.0,26830.0,80732.0,1758.0,pos
2020-05-11,54,-0.08047019073744288,0.00020516194122843778,-0.009751062515843456,neutral,1358384.0,19298.0,84226.0,1044.0,pos
2020-05-12,54,-0.03343167650317169,-0.01993157802483969,-0.03163625258778824,neutral,1381311.0,22927.0,85824.0,1598.0,neg
2020-05-13,54,-0.038657183864722944,-0.01768586558320595,-0.027477291739983922,neutral,1401744.0,20433.0,87549.0,1725.0,neg
2020-05-14,54,0.06243387984086857,0.011967311946537107,0.0031145581150660018,neutral,1428561.0,26817.0,89331.0,1782.0,pos
2020-05-15,54,0.001992077474070042,0.004596966533256808,-0.0062097755233829766,neutral,1453294.0,24733.0,90997.0,1666.0,pos
2020-05-18,52,0.17097407968299327,0.030459694208066823,0.07587586714978789,neutral,1518206.0,22389.0,94246.0,1223.0,pos
2020-05-19,52,-0.019524579579792256,-0.010271182302701298,-0.012860380494893131,neutral,1539185.0,20979.0,95706.0,1460.0,neg
2020-05-20,52,-0.0008658206681120273,0.016988017379665044,0.02500522426756646,neutral,1561910.0,22725.0,97205.0,1499.0,pos
2020-05-21,52,-0.009532032672518564,-0.006903943163488857,0.002255035118989168,neutral,1587679.0,25769.0,98390.0,1185.0,neg
2020-05-22,52,-0.017497879055076493,0.0018990692801170717,0.005931702171154907,neutral,1611328.0,23649.0,99612.0,1222.0,pos
2020-05-26,47,0.08370441428089559,0.012320552737543622,0.04188697357682236,neutral,1690829.0,19663.0,102613.0,678.0,pos
2020-05-27,47,0.028759275207524082,0.014879003633885723,0.034738460596985155,neutral,1709380.0,18551.0,104072.0,1459.0,pos
2020-05-28,47,-0.03913743665150027,-0.0018449496288533984,-0.018106357528936745,neutral,1731700.0,22320.0,105164.0,1092.0,neg
2020-05-29,47,-0.007481309608114328,0.004455906849114788,0.0026891929687935523,negative,1756178.0,24478.0,106294.0,1130.0,pos
2020-06-01,39,0.02596318513494844,0.004041733830006056,0.005747111737085309,negative,1816207.0,17414.0,108643.0,778.0,pos
2020-06-02,39,0.002448957793566686,0.008280146883890893,0.012190464564732162,negative,1837709.0,21502.0,109623.0,980.0,pos
2020-06-03,39,0.026872958540872016,0.01330825201965502,0.03199098198090322,negative,1857566.0,19857.0,110631.0,1008.0,pos
2020-06-04,39,0.035686024995343235,-0.002626713253435109,0.026622886221924214,negative,1879224.0,21658.0,111637.0,1006.0,neg
